,el_price_eur_kwh,heat_demand_kw,pv_power_kw,cop_t
449,0.14967,546.26,0.0,2.4254085286458347
450,0.15904,546.26,0.0,2.423683268229168
451,0.1566,554.26,0.0,2.406227213541668
452,0.14906,554.26,0.0,2.3821203613281265
453,0.13926,554.26,0.0,2.354729817708335
454,0.13099,540.36,0.0,2.33359334309896
455,0.12294,540.36,0.0,2.3135555013020848
456,0.1222699999999999,540.36,0.0,2.2881201171875016
457,0.11944,551.24,0.0,2.268597005208335
458,0.11656,551.24,0.0,2.251877441406248
459,0.11441,551.24,0.0,2.239353027343752
460,0.11545,591.62,0.0,2.234295247395835
461,0.12754,591.62,0.0,2.231794840494793
462,0.16171,591.62,0.0,2.2193640136718766
463,0.27648,768.0,0.0,2.223605957031252
464,0.43199,768.0,0.0,2.2641068522135432
465,0.2917,768.0,0.26149333441222655,2.3404577636718766
466,0.23629,754.0,0.6578545957473992,2.420574544270835
467,0.1874799999999999,754.0,0.9426781713501889,2.4977941894531264
468,0.176,754.0,1.100124358097165,2.5373937988281265
469,0.17139,726.0,1.0281220518653666,2.5381241861979182
470,0.19185,726.0,0.8583062355611875,2.489080403645835
471,0.27717,726.0,0.5321570595483335,2.401692301432293
472,0.40212,600.09,0.08229563000597656,2.328452148437502
473,0.5834,600.09,0.0,2.2891516113281267
474,0.47328,600.09,0.0,2.3172928873697933
475,0.29557,528.58,0.0,2.3441178385416683
476,0.22,528.58,0.0,2.391387532552085
477,0.17,528.58,0.0,2.4256201171875014
478,0.1525099999999999,522.2,0.0,2.4717118326822933
479,0.13798,522.2,0.0,2.509114176432293
480,0.12752,522.2,0.0,2.543812662760418
481,0.12165,545.25,0.0,2.585133463541668
482,0.11667,545.25,0.0,2.6132991536458348
483,0.11386,545.25,0.0,2.6413366699218765
484,0.11354,594.77,0.0,2.6561865234375013
485,0.12234,594.77,0.0,2.659114176432293
486,0.1422,594.77,0.0,2.6709814453125014
487,0.19006,793.0,0.0,2.690809733072914
488,0.2483199999999999,793.0,0.0,2.718302001953126
489,0.21168,793.0,0.14208195511088337,2.7585078938802097
490,0.19805,752.0,0.43170716581481683,2.8110112304687527
491,0.1615,752.0,0.6203876679156942,2.8610063476562524
492,0.14744,752.0,0.4814095406329715,2.9088334960937527
493,0.14283,693.75,0.30682881427001285,2.9579716796875024
494,0.15005,693.75,0.4327448367881436,2.9796953125000027
495,0.17343,693.75,0.31136852840104584,3.0026933593750025
496,0.2121299999999999,512.28,0.0539871069109599,3.0118999023437527
497,0.30115,512.28,0.0,3.0408415527343777
498,0.25193,512.28,0.0,3.076836425781246
499,0.20268,443.32,0.0,3.1143474121093777
500,0.17484,443.32,0.0,3.1599626464843777
501,0.15519,443.32,0.0,3.2004216308593776
502,0.1386,447.56,0.0,3.2581584472656275
503,0.12529,447.56,0.0,3.317327148437503
504,0.128,447.56,0.0,3.3732695312500027
505,0.12506,486.23,0.0,3.392993652343753
506,0.12222,486.23,0.0,3.435785400390628
507,0.1216599999999999,486.23,0.0,3.4768962402343777
508,0.1231599999999999,477.55,0.0,3.533336669921878
509,0.12832,477.55,0.0,3.5920732421875026
510,0.1569199999999999,477.55,0.0,3.717104980468753
511,0.20825,623.99,0.0,3.780437500000003
512,0.2386,623.99,0.0,3.792599365234378
513,0.19941,623.99,0.0918742122290162,3.797393066406253
514,0.17906,596.8,0.3547977080020908,3.8012565917968777
515,0.17294,596.8,0.336128710888928,3.806896240234378
516,0.165,596.8,0.9099347809100061,3.7341960449218776
517,0.17,528.2,1.548194384249354,3.6544060058593777
518,0.17992,528.2,0.9002499888841397,3.570323974609378
519,0.1956699999999999,528.2,0.8131216561445921,3.4727250976562525
520,0.19904,428.15,0.1920798876079304,3.4092644042968776
521,0.20899,428.15,0.0,3.3786564941406274
522,0.18043,428.15,0.0,3.4234550781250026
523,0.16708,364.33,0.0,3.3868266601562524
524,0.13449,364.33,0.0,3.354296142578128
525,0.12778,364.33,0.0,3.333711425781246
526,0.12809,373.25,0.0,3.2852580566406275
527,0.11468,373.25,0.0,3.2759343261718774
528,0.1137,373.25,0.0,3.264955322265628
529,0.1088799999999999,394.44,0.0,3.2504130859375024
530,0.10558,394.44,0.0,3.2139128417968776
531,0.10001,394.44,0.0,3.1723222656250027
532,0.09759,445.8,0.0,3.1315153808593776
533,0.10001,445.8,0.0,3.082714111328128
534,0.1064099999999999,445.8,0.0,3.066725341796878
535,0.1366,561.0,0.0,3.045843994140628
536,0.15903,561.0,0.004110403883073643,3.0890458984375027
537,0.1554199999999999,561.0,0.6255634340335003,3.196451904296877
538,0.13094,559.0,1.4737944225625657,3.314291259765628
539,0.1161,559.0,2.5617230032224616,3.4079606933593776
540,0.09493,559.0,2.890933584968863,3.476801025390628
541,0.08856,515.97,2.162299456347302,3.4650566406250025
